year,month,day,calls_disorder,calls_behavior,calls_traffic,calls_gun,calls_robbery,calls_burglary,calls_aggravated_assault,calls_theft,calls_mv_theft,calls_violent,calls_property,calls_index,calls_disorder_day,calls_behavior_day,calls_traffic_day,calls_gun_day,calls_robbery_day,calls_burglary_day,calls_aggravated_assault_day,calls_theft_day,calls_mv_theft_day,calls_violent_day,calls_property_day,calls_index_day,calls_disorder_night,calls_behavior_night,calls_traffic_night,calls_gun_night,calls_robbery_night,calls_burglary_night,calls_aggravated_assault_night,calls_theft_night,calls_mv_theft_night,calls_violent_night,calls_property_night,calls_index_night,calls_disorder_is_sunrise,calls_behavior_is_sunrise,calls_traffic_is_sunrise,calls_gun_is_sunrise,calls_robbery_is_sunrise,calls_burglary_is_sunrise,calls_aggravated_assault_is_sunrise,calls_theft_is_sunrise,calls_mv_theft_is_sunrise,calls_violent_is_sunrise,calls_property_is_sunrise,calls_index_is_sunrise,calls_disorder_is_sunset,calls_behavior_is_sunset,calls_traffic_is_sunset,calls_gun_is_sunset,calls_robbery_is_sunset,calls_burglary_is_sunset,calls_aggravated_assault_is_sunset,calls_theft_is_sunset,calls_mv_theft_is_sunset,calls_violent_is_sunset,calls_property_is_sunset,calls_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city,date
2012,6,1,65,65,24,5,1,2,3,7,9,4,18,22,35,40,19,2,0,2,0,5,8,0,15,15,18,10,2,2,1,0,3,1,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,12,15,3,1,0,0,0,1,1,0,2,2,734,10,105,-156,82,Hartford,2012-06-01
2013,6,1,85,25,22,4,2,2,3,8,3,5,13,18,36,12,11,0,1,1,1,7,2,2,10,12,35,9,8,2,0,1,1,1,1,1,3,4,1,0,0,1,0,0,0,0,0,0,0,0,13,4,3,1,1,0,1,0,0,2,0,2,666,7,109,-155,83,Hartford,2013-06-01
2014,6,1,98,42,20,7,1,2,1,5,4,2,11,13,47,24,12,5,1,2,1,5,3,2,10,12,26,8,6,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,24,10,2,2,0,0,0,0,0,0,0,0,713,6,86,-154,84,Hartford,2014-06-01
2015,6,1,30,28,25,1,1,0,0,10,3,1,13,14,20,23,24,0,1,0,0,7,3,1,10,11,6,0,0,1,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,1,0,0,1,1,514,1,46,-153,85,Hartford,2015-06-01
2016,6,1,48,51,22,6,1,5,1,10,3,2,18,20,27,39,21,1,1,5,0,9,2,1,16,17,13,5,0,5,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,8,7,1,0,0,0,0,1,0,0,1,1,668,6,54,-158,80,Hartford,2016-06-01
2017,6,1,60,44,25,1,0,0,1,13,0,1,13,14,40,32,22,1,0,0,1,10,0,1,10,11,12,7,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1,0,0,0,0,1,0,0,1,1,606,0,66,-157,81,Hartford,2017-06-01
2018,6,1,49,61,33,10,0,3,1,16,2,1,21,22,26,39,26,1,0,2,0,12,1,0,15,15,16,13,1,6,0,1,1,2,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7,9,6,3,0,0,0,2,1,0,3,3,745,2,92,-156,82,Hartford,2018-06-01
2019,6,1,46,43,18,8,1,0,7,15,2,8,17,25,15,26,15,1,1,0,5,12,2,6,14,20,18,11,3,7,0,0,2,3,0,2,3,5,2,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,778,7,117,-155,83,Hartford,2019-06-01
2020,6,1,51,22,10,7,0,2,1,7,3,1,12,13,23,14,9,1,0,1,0,5,2,0,8,8,18,8,0,6,0,1,1,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,1,0,0,1,1,758,5,66,-153,85,Hartford,2020-06-01
2021,6,1,55,36,24,5,0,0,0,11,6,0,17,17,32,24,21,4,0,0,0,10,3,0,13,13,16,10,2,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,2,0,3,3,428,3,38,-159,79,Hartford,2021-06-01
2022,6,1,50,28,27,5,0,3,0,10,5,0,18,18,31,20,26,5,0,2,0,8,3,0,13,13,13,4,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,0,0,1,0,2,0,0,3,3,423,1,38,-158,80,Hartford,2022-06-01
2023,6,1,47,19,24,11,1,2,4,11,12,5,25,30,27,8,14,1,0,2,1,9,9,1,20,21,14,7,2,8,1,0,3,0,2,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0,5,4,8,2,0,0,0,2,1,0,3,3,382,5,41,-157,81,Hartford,2023-06-01
2024,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,2024-06-01
