year,month,day,crime_disorder,crime_robbery,crime_aggravated_assault,crime_burglary,crime_mv_theft,crime_theft,crime_gun,crime_violent,crime_property,crime_index,crime_disorder_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_mv_theft_day,crime_theft_day,crime_gun_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_mv_theft_night,crime_theft_night,crime_gun_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_mv_theft_is_sunrise,crime_theft_is_sunrise,crime_gun_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_mv_theft_is_sunset,crime_theft_is_sunset,crime_gun_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2014,4,1,0,2,3,4,0,13,0,5,17,22,0,1,2,2,0,7,0,3,9,12,0,0,1,1,0,6,0,1,7,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,131,2,9,-215,23,Hartford
2015,4,1,0,2,0,2,1,17,1,2,20,22,0,0,0,1,0,12,0,0,13,13,0,1,0,1,1,5,1,1,7,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,124,2,11,-214,24,Hartford
2016,4,1,0,1,0,3,0,4,2,1,7,8,0,0,0,2,0,4,0,0,6,6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,103,0,7,-219,19,Hartford
2017,4,1,0,0,0,2,0,8,2,0,10,10,0,0,0,2,0,3,0,0,5,5,0,0,0,0,0,4,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,77,0,10,-218,20,Hartford
2018,4,1,0,0,1,0,0,8,8,1,8,9,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,6,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,2,71,0,7,-217,21,Hartford
2019,4,1,0,0,0,2,0,5,2,0,7,7,0,0,0,1,0,3,1,0,4,4,0,0,0,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,103,0,6,-216,22,Hartford
2020,4,1,0,0,0,1,0,7,4,0,8,8,0,0,0,0,0,2,0,0,2,2,0,0,0,1,0,4,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,62,0,7,-214,24,Hartford
2021,4,1,0,0,2,0,1,6,3,2,7,9,0,0,1,0,1,2,2,1,3,4,0,0,1,0,0,3,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,91,0,7,-220,18,Hartford
2022,4,1,18,1,0,0,2,5,5,1,7,8,12,1,0,0,1,4,0,1,5,6,3,0,0,0,1,1,5,0,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,132,2,3,-219,19,Hartford
2023,4,1,13,0,0,1,1,5,2,0,7,7,9,0,0,0,1,5,0,0,6,6,3,0,0,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,4,6,-218,20,Hartford
2024,4,1,14,1,0,1,1,7,3,1,9,10,11,1,0,1,1,5,2,1,7,8,3,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,7,-216,22,Hartford
2012,5,1,0,2,2,2,1,8,2,4,11,15,0,0,1,1,1,6,2,1,8,9,0,2,0,1,0,2,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,159,0,8,-187,51,Hartford
2013,5,1,0,1,3,1,0,11,2,4,12,16,0,1,3,1,0,8,1,4,9,13,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,136,0,9,-186,52,Hartford
2014,5,1,0,1,0,2,0,15,1,1,17,18,0,1,0,1,0,12,0,1,13,14,0,0,0,1,0,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,171,0,12,-185,53,Hartford
2015,5,1,0,1,1,6,1,11,2,2,18,20,0,0,0,4,0,7,1,0,11,11,0,1,1,2,1,2,0,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,134,0,11,-184,54,Hartford
2016,5,1,0,0,0,3,0,8,7,0,11,11,0,0,0,2,0,4,2,0,6,6,0,0,0,1,0,3,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,79,1,10,-189,49,Hartford
2017,5,1,0,0,1,3,0,6,6,1,9,10,0,0,1,3,0,4,2,1,7,8,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,100,1,9,-188,50,Hartford
2018,5,1,0,0,4,2,0,10,5,4,12,16,0,0,2,0,0,5,2,2,5,7,0,0,1,2,0,5,3,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,123,1,10,-187,51,Hartford
2019,5,1,0,1,2,1,0,5,3,3,6,9,0,0,1,1,0,2,0,1,3,4,0,1,1,0,0,3,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,124,0,12,-186,52,Hartford
2020,5,1,0,0,2,2,0,5,6,2,7,9,0,0,1,1,0,1,2,1,2,3,0,0,1,0,0,3,4,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,85,0,4,-184,54,Hartford
2021,5,1,0,0,2,1,0,7,10,2,8,10,0,0,2,1,0,3,7,2,4,6,0,0,0,0,0,4,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,1,9,-190,48,Hartford
