year,month,day,crime_disorder,crime_gun,crime_robbery,crime_aggravated_assault,crime_burglary,crime_theft,crime_mv_theft,crime_violent,crime_property,crime_index,crime_disorder_day,crime_gun_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_theft_day,crime_mv_theft_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_gun_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_theft_night,crime_mv_theft_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_gun_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_theft_is_sunrise,crime_mv_theft_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_gun_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_theft_is_sunset,crime_mv_theft_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2016,5,1,31,1,6,0,6,24,19,6,49,55,19,1,2,0,2,16,9,2,27,29,10,0,3,0,3,7,8,3,18,21,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,2,1,4,5,150,0,16,-189,49,New Orleans
2017,5,1,33,0,4,4,6,35,17,8,58,66,16,0,4,4,4,24,6,8,34,42,14,0,0,0,2,9,11,0,22,22,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,1,0,0,1,1,197,2,14,-188,50,New Orleans
2018,5,1,51,2,3,5,2,32,14,8,48,56,30,1,2,1,1,22,6,3,29,32,17,1,1,2,1,8,8,3,17,20,0,0,0,1,0,0,0,1,0,1,4,0,0,1,0,2,0,1,2,3,187,1,13,-187,51,New Orleans
2019,5,1,46,2,4,2,5,34,36,6,75,81,29,2,4,2,4,23,18,6,45,51,14,0,0,0,1,9,17,0,27,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,3,3,229,1,9,-186,52,New Orleans
2020,5,1,46,1,2,4,3,15,15,6,33,39,29,0,1,2,2,13,6,3,21,24,14,1,1,2,1,1,8,3,10,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,2,2,144,0,14,-184,54,New Orleans
2021,5,1,49,3,5,9,10,20,30,14,60,74,25,2,2,4,5,8,17,6,30,36,16,0,3,5,5,12,13,8,30,38,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,180,2,10,-190,48,New Orleans
2022,5,1,50,3,3,5,9,32,29,8,70,78,28,0,0,3,5,19,11,3,35,38,18,3,3,2,4,13,13,5,30,35,0,0,0,0,0,0,3,0,3,3,4,0,0,0,0,0,2,0,2,2,183,3,8,-189,49,New Orleans
2023,5,1,43,2,2,3,3,33,18,5,54,59,27,1,0,1,1,23,6,1,30,31,13,1,2,1,2,9,12,3,23,26,0,0,0,0,0,1,0,0,1,1,3,0,0,1,0,0,0,1,0,1,164,1,6,-188,50,New Orleans
2024,5,1,48,0,1,1,1,22,26,2,49,51,30,0,0,1,1,16,9,1,26,27,15,0,1,0,0,6,15,1,21,22,1,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,1,0,1,1,163,2,6,-186,52,New Orleans
2012,6,1,27,0,1,3,6,36,7,4,49,53,15,0,1,1,4,20,3,2,27,29,10,0,0,2,2,15,4,2,21,23,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,201,2,8,-156,82,New Orleans
