year,month,day,crime_disorder,crime_robbery,crime_aggravated_assault,crime_burglary,crime_theft,crime_mv_theft,crime_gun,crime_violent,crime_property,crime_index,crime_disorder_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_theft_day,crime_mv_theft_day,crime_gun_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_theft_night,crime_mv_theft_night,crime_gun_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_theft_is_sunrise,crime_mv_theft_is_sunrise,crime_gun_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_theft_is_sunset,crime_mv_theft_is_sunset,crime_gun_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2019,1,2,49,2,3,7,52,11,2,5,70,75,15,1,2,4,22,5,1,3,31,34,30,1,1,2,27,5,1,2,34,36,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,1,0,0,5,5,200,1,17,-305,-67,Austin
2020,1,2,68,1,3,10,79,7,4,4,96,100,28,1,1,5,32,3,1,2,40,42,34,0,2,5,35,1,3,2,41,43,1,0,0,0,2,0,0,0,2,2,5,0,0,0,10,3,0,0,13,13,250,3,24,-304,-66,Austin
2021,1,2,62,1,2,13,48,8,4,3,69,72,26,0,0,5,21,3,1,0,29,29,30,0,2,7,26,5,3,2,38,40,0,0,0,0,0,0,0,0,0,0,6,1,0,1,1,0,0,1,2,3,221,0,18,-309,-71,Austin
2022,1,2,50,2,7,10,46,11,1,9,67,76,17,0,1,4,17,5,0,1,26,27,30,2,6,6,25,4,1,8,35,43,0,0,0,0,1,1,0,0,2,2,3,0,0,0,3,1,0,0,4,4,184,2,14,-308,-70,Austin
2023,1,2,47,3,5,15,63,15,4,8,93,101,17,2,0,4,28,9,2,2,41,43,27,1,5,10,30,4,2,6,44,50,0,0,0,0,1,0,0,0,1,1,3,0,0,1,4,2,0,0,7,7,231,2,19,-307,-69,Austin
2024,1,2,35,1,3,10,47,13,2,4,70,74,11,0,1,5,23,7,0,1,35,36,21,1,2,5,20,6,2,3,31,34,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,4,188,1,11,-306,-68,Austin
2012,2,2,84,3,2,19,74,3,2,5,96,101,35,1,1,13,36,2,2,2,51,53,41,2,1,4,31,1,0,3,36,39,1,0,0,1,1,0,0,0,2,2,7,0,0,1,6,0,0,0,7,7,326,6,19,-276,-38,Austin
2013,2,2,101,0,6,13,92,7,0,6,112,118,36,0,4,3,41,3,0,4,47,51,56,0,2,10,41,3,0,2,54,56,0,0,0,0,2,0,0,0,2,2,9,0,0,0,8,1,0,0,9,9,364,4,25,-274,-36,Austin
2014,2,2,57,3,10,7,71,3,3,13,81,94,24,1,1,3,29,1,0,2,33,35,27,1,8,3,39,2,3,9,44,53,2,0,0,0,2,0,0,0,2,2,4,1,1,1,1,0,0,2,2,4,247,4,10,-273,-35,Austin
2015,2,2,75,1,0,17,90,6,0,1,113,114,29,0,0,12,42,3,0,0,57,57,34,1,0,5,38,3,0,1,46,47,2,0,0,0,1,0,0,0,1,1,10,0,0,0,9,0,0,0,9,9,293,4,25,-272,-34,Austin
2016,2,2,79,1,2,17,66,6,2,3,89,92,35,1,1,9,31,1,0,2,41,43,37,0,1,7,27,3,2,1,37,38,1,0,0,0,0,0,0,0,0,0,6,0,0,1,8,2,0,0,11,11,275,3,26,-278,-40,Austin
2017,2,2,98,5,5,12,71,6,6,10,89,99,37,0,3,9,40,1,4,3,50,53,54,3,2,3,21,4,2,5,28,33,0,0,0,0,3,0,0,0,3,3,7,2,0,0,7,1,0,2,8,10,326,4,26,-276,-38,Austin
2018,2,2,67,3,2,14,65,9,0,5,88,93,31,0,0,8,33,4,0,0,45,45,34,3,1,4,27,5,0,4,36,40,0,0,0,0,1,0,0,0,1,1,2,0,1,2,4,0,0,1,6,7,261,3,14,-275,-37,Austin
2019,2,2,69,3,3,8,67,8,1,6,83,89,35,0,2,6,29,4,0,2,39,41,31,2,1,2,33,2,1,3,37,40,0,0,0,0,1,0,0,0,1,1,3,1,0,0,4,2,0,1,6,7,273,2,19,-274,-36,Austin
